language,threshold,n_samples,positive_rate,roc_auc,f1,precision,recall,accuracy,tp,tn,fp,fn,specificity,fpr,fnr
es,0.448,251,0.16733067729083664,0.8319662793347004,0.39805825242718446,0.25,0.9761904761904762,0.5059760956175299,41,86,123,1,0.41148325358851673,0.5885167464114832,0.023809523809523808
it,0.486,251,0.1952191235059761,0.6660941604364519,0.3708609271523179,0.27450980392156865,0.5714285714285714,0.6215139442231076,28,128,74,21,0.6336633663366337,0.36633663366336633,0.42857142857142855
tr,0.486,300,0.10666666666666667,0.9142957089552239,0.6060606060606061,0.5882352941176471,0.625,0.9133333333333333,20,254,14,12,0.9477611940298507,0.05223880597014925,0.375
